TICKER,PRECO,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG. LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
MTRE3,3.66,13.95,6.74,0.39,0.17,25.24,8.14,5.04,4.17,9.39,5.22,0.49,0.34,0.36,-0.92,2.35,5.79,2.49,3.91,0.43,0.55,0.49,30.48,12.44,2701819.90,9.38,0.54,0.07,387135841.20
MTSA3,75.49,3.31,15.48,1.41,1.14,24.19,7.82,7.90,15.63,8.83,-3.40,-0.31,1.22,1.91,-4.98,4.51,9.13,7.39,1.92,0.81,0.19,0.94,11.91,18.95,7600.00,53.43,4.88,-0.91,519309145.70
MTSA4,43.98,6.25,9.02,0.82,0.67,24.19,7.82,7.90,9.11,8.83,-3.40,-0.31,0.71,1.11,-2.90,4.51,9.13,7.39,1.92,0.81,0.19,0.94,11.91,18.95,648332.05,53.43,4.88,-0.53,519309145.70
MULT3,27.80,4.01,11.06,2.42,1.16,81.08,66.12,47.77,7.99,10.44,2.45,0.74,5.28,33.50,-1.36,1.31,21.85,10.48,14.52,0.48,0.52,0.22,14.28,22.33,79891105.00,11.51,2.51,0.70,14265950887.80
MWET3,13.00,,3.72,2.34,0.09,6.79,19.86,2.84,0.53,2.34,1.87,8.25,0.11,-0.66,-0.14,0.75,62.95,2.29,34.56,0.04,0.96,0.81,9.33,,1300.00,5.55,3.50,-0.03,23378914.08
MWET4,10.54,,3.01,1.90,0.07,6.79,19.86,2.84,0.43,2.34,1.87,8.25,0.09,-0.54,-0.11,0.75,62.95,2.29,34.56,0.04,0.96,0.81,9.33,,7909.77,5.55,3.50,-0.02,23378914.08
MYPK3,14.10,4.14,7.87,0.50,0.15,12.17,6.76,1.73,2.01,5.65,3.63,0.91,0.14,0.77,-0.27,1.68,6.37,1.84,8.46,0.29,0.68,1.07,8.89,-3.99,11598500.00,28.09,1.79,0.03,2167446374.10
NAFG3,64.37,,11.80,2.76,1.15,41.15,16.49,9.34,6.68,5.06,1.17,0.48,1.10,3.20,-2.87,2.52,23.42,9.77,15.89,0.42,0.58,1.05,7.87,35.19,,23.30,5.46,-1.14,508315292.42
NAFG4,19.02,,3.49,0.82,0.34,41.15,16.49,9.34,1.97,5.06,1.17,0.48,0.33,0.94,-0.85,2.52,23.42,9.77,15.89,0.42,0.58,1.05,7.87,35.19,,23.30,5.46,-0.34,508315292.42
NATU3,8.96,,18.32,1.30,0.61,66.69,5.04,2.98,10.84,10.98,0.15,0.02,0.55,1.79,-1.89,2.03,7.11,3.35,4.05,0.47,0.53,1.12,,,134558361.52,6.88,0.49,-0.20,12316036606.72
NEMO3,0.00,,0.00,0.00,0.00,37.73,26.61,4.43,0.00,5.22,5.22,5.52,0.00,0.00,0.00,3.17,17.64,1.43,7.72,0.08,0.73,0.32,12.75,,,18.64,3.29,0.00,0.00
NEMO4,0.00,,0.00,0.00,0.00,37.73,26.61,4.43,0.00,5.22,5.22,5.52,0.00,0.00,0.00,3.17,17.64,1.43,7.72,0.08,0.73,0.32,12.75,,,18.64,3.29,0.00,0.00
NEMO5,52.97,,16.11,2.84,0.23,37.73,26.61,4.43,2.68,5.22,5.22,5.52,0.71,1.34,-0.31,3.17,17.64,1.43,7.72,0.08,0.73,0.32,12.75,,,18.64,3.29,0.00,0.00
NEMO6,0.00,,0.00,0.00,0.00,37.73,26.61,4.43,0.00,5.22,5.22,5.52,0.00,0.00,0.00,3.17,17.64,1.43,7.72,0.08,0.73,0.32,12.75,,,18.64,3.29,0.00,0.00
NEOE3,27.15,3.05,7.62,0.94,0.30,26.70,19.64,8.48,3.29,7.78,4.49,1.28,0.65,10.80,-0.37,1.17,12.28,3.90,11.36,0.32,0.68,0.46,11.47,14.17,30119412.48,29.02,3.56,-2.52,32954595283.20
NEXP3,3.40,,0.11,-0.17,0.30,45.17,91.83,70.38,0.08,0.04,-0.04,,0.08,-0.36,-0.65,0.39,-155.40,284.68,-197.02,-1.83,2.82,4.04,-3.43,,3841.05,-20.51,31.88,0.00,9028934.60
NGRD3,26.70,,-7.95,0.55,0.41,58.13,-15.24,-11.11,-5.80,-3.10,2.69,-0.26,0.88,2.03,-0.64,2.28,-6.95,-5.16,-9.86,0.74,0.26,0.46,5.77,,203163.62,48.27,-3.36,-0.02,244063204.80
NORD3,5.60,,0.98,-0.29,1.90,90.53,1236.98,1455.20,1.15,2.37,1.22,,14.22,-0.29,-2.08,0.01,-29.93,194.45,-25.85,-6.50,7.50,0.13,13.33,,807.80,-19.14,5.73,0.00,37080321.60
